"","Profile","Group","age","BMI","smoking","comorbidity","Pop.Prev","P(H|I).May.15","P(H|I).Aug.1","P(H|I).Oct.15","P(Q|H).May.15","P(Q|H).Aug.1","P(Q|H).Oct.15","P(D|Q).May.15","P(D|Q).Aug.1","P(D|Q).Oct.15"
"13",37,"Risk 3","20-44","BMI>40","Smoker","Comorbidity",0.0014,0.3591,0.2172,0.2218,0.5997,0.596,0.5979,0.4908,0.4808,0.4838
"14",24,"Risk 3","65+","BMI<30","Non Smoker","Comorbidity",0.0658,0.216,0.12,0.1229,0.6651,0.6617,0.6635,0.697,0.6885,0.6911
"15",32,"Risk 3","45-64","BMI<30","Smoker","Comorbidity",0.015,0.2228,0.1243,0.1273,0.6761,0.6728,0.6745,0.6487,0.6395,0.6422
"16",11,"Risk 3","45-64","BMI>40","Non Smoker","No Comorbidity",0.0039,0.2632,0.1503,0.1538,0.5828,0.5791,0.581,0.5333,0.5233,0.5262
"17",19,"Risk 3","20-44","BMI>40","Smoker","No Comorbidity",0.0006,0.2711,0.1555,0.159,0.5949,0.5912,0.5931,0.4808,0.4708,0.4738
"18",6,"Risk 3","65+","BMI<30","Non Smoker","No Comorbidity",0.0257,0.1546,0.083,0.0851,0.6606,0.6572,0.659,0.6885,0.6799,0.6825
"19",14,"Risk 3","45-64","BMI<30","Smoker","No Comorbidity",0.0133,0.1599,0.0861,0.0882,0.6718,0.6684,0.6701,0.6395,0.6302,0.633
"20",26,"Risk 3","45-64","30<BMI<40","Non Smoker","Comorbidity",0.0377,0.2281,0.1276,0.1306,0.5757,0.572,0.5739,0.5133,0.5033,0.5063
"21",34,"Risk 3","20-44","30<BMI<40","Smoker","Comorbidity",0.005,0.2352,0.1322,0.1352,0.5879,0.5842,0.5861,0.4609,0.4509,0.4539
"22",8,"Risk 4","45-64","30<BMI<40","Non Smoker","No Comorbidity",0.0183,0.1639,0.0885,0.0907,0.5708,0.5671,0.569,0.5033,0.4933,0.4963
"23",16,"Risk 4","20-44","30<BMI<40","Smoker","No Comorbidity",0.0044,0.1695,0.0918,0.094,0.583,0.5793,0.5812,0.451,0.4411,0.444
"24",23,"Risk 4","45-64","BMI<30","Non Smoker","Comorbidity",0.1486,0.1395,0.0743,0.0762,0.5637,0.5599,0.5619,0.4858,0.4758,0.4788
"25",28,"Risk 4","20-44","BMI>40","Non Smoker","Comorbidity",0.007,0.2406,0.1356,0.1388,0.481,0.4772,0.4792,0.3303,0.3215,0.3241
"26",31,"Risk 4","20-44","BMI<30","Smoker","Comorbidity",0.0249,0.1444,0.0771,0.079,0.5759,0.5722,0.5742,0.4337,0.4239,0.4268
"27",10,"Risk 4","20-44","BMI>40","Non Smoker","No Comorbidity",0.0066,0.1738,0.0943,0.0966,0.4761,0.4723,0.4742,0.3215,0.3128,0.3154
"28",5,"Risk 4","45-64","BMI<30","Non Smoker","No Comorbidity",0.0978,0.0972,0.0506,0.0519,0.5588,0.555,0.557,0.4758,0.4658,0.4688
"29",13,"Risk 4","20-44","BMI<30","Smoker","No Comorbidity",0.0288,0.1007,0.0525,0.0539,0.571,0.5673,0.5693,0.4239,0.4141,0.417
"30",25,"Risk 4","20-44","30<BMI<40","Non Smoker","Comorbidity",0.023,0.1481,0.0793,0.0813,0.4688,0.465,0.467,0.3043,0.2959,0.2984
"31",7,"Risk 5","20-44","30<BMI<40","Non Smoker","No Comorbidity",0.024,0.1035,0.0541,0.0554,0.4638,0.4601,0.462,0.2959,0.2876,0.2901
"32",22,"Risk 5","20-44","BMI<30","Non Smoker","Comorbidity",0.1154,0.0871,0.0451,0.0463,0.4566,0.4529,0.4548,0.2816,0.2735,0.2759
"33",4,"Risk 5","20-44","BMI<30","Non Smoker","No Comorbidity",0.1441,0.0596,0.0304,0.0312,0.4517,0.4479,0.4499,0.2735,0.2656,0.268
"34",3,"Risk 5","0-19","BMI>40","Non Smoker","No Comorbidity",0.0008,0.0718,0.0369,0.0379,0.2505,0.2477,0.2491,0.1485,0.1435,0.1449
"35",2,"Risk 5","0-19","30<BMI<40","Non Smoker","No Comorbidity",0.0012,0.0407,0.0206,0.0211,0.2414,0.2387,0.2401,0.1339,0.1293,0.1307
"36",1,"Risk 5","0-19","BMI<30","Non Smoker","No Comorbidity",0.1519,0.0228,0.0114,0.0117,0.2326,0.2299,0.2313,0.1217,0.1174,0.1187
